,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,92,93,101,104,110
2023-10-20 12:00:00,"['rest', inf]","['inactive', inf]","['lalik', -4]","['lalik', -4]","['lalik', -4]","['salanova', -4]","['salanova', -4]","['inactive', inf]","['salanova', -4]","['sior', -8]","['sior', -8]","['lalik', -4]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['salanova', -4]","['rest', inf]","['sior', -8]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]"
2023-10-20 13:00:00,"['rest', inf]","['rest', inf]","['lalik', -3]","['lalik', -3]","['lalik', -3]","['salanova', -3]","['salanova', -3]","['rest', inf]","['salanova', -3]","['sior', -7]","['sior', -7]","['lalik', -3]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['salanova', -3]","['rest', inf]","['sior', -7]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]"
2023-10-20 14:00:00,"['inactive', inf]","['rest', inf]","['lalik', -2]","['lalik', -2]","['lalik', -2]","['salanova', -2]","['salanova', -2]","['rest', inf]","['salanova', -2]","['sior', -6]","['sior', -6]","['lalik', -2]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['salanova', -2]","['rest', inf]","['sior', -6]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]"
2023-10-20 15:00:00,"['rest', inf]","['rest', inf]","['lalik', -1]","['lalik', -1]","['lalik', -1]","['salanova', -1]","['salanova', -1]","['rest', inf]","['salanova', -1]","['sior', -5]","['sior', -5]","['lalik', -1]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['salanova', -1]","['rest', inf]","['sior', -5]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]"
2023-10-20 16:00:00,"['rest', inf]","['rest', inf]","['rest', 0]","['rest', 0]","['rest', 0]","['rest', 0]","['inactive', 0]","['rest', inf]","['rest', 0]","['sior', -4]","['sior', -4]","['rest', 0]","['lalik', -4]","['lalik', -4]","['lalik', -4]","['salanova', -4]","['salanova', -4]","['rest', inf]","['salanova', -4]","['rest', inf]","['rest', 0]","['rest', inf]","['sior', -4]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['lalik', -4]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['salanova', -4]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]"
2023-10-20 17:00:00,"['inactive', inf]","['inactive', inf]","['rest', 1]","['inactive', 1]","['rest', 1]","['rest', 1]","['rest', 1]","['rest', inf]","['rest', 1]","['sior', -3]","['sior', -3]","['rest', 1]","['lalik', -3]","['lalik', -3]","['lalik', -3]","['salanova', -3]","['salanova', -3]","['rest', inf]","['salanova', -3]","['inactive', inf]","['rest', 1]","['sior1', -4]","['sior', -3]","['sior1', -4]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['lalik', -3]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['salanova', -3]","['rest', inf]","['sior1', -4]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]"
2023-10-20 18:00:00,"['rest', inf]","['inactive', inf]","['rest', 2]","['rest', 2]","['rest', 2]","['rest', 2]","['inactive', 2]","['inactive', inf]","['rest', 2]","['sior', -2]","['sior', -2]","['rest', 2]","['lalik', -2]","['lalik', -2]","['lalik', -2]","['salanova', -2]","['salanova', -2]","['rest', inf]","['salanova', -2]","['rest', inf]","['rest', 2]","['sior1', -3]","['sior', -2]","['sior1', -3]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['lalik', -2]","['inactive', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['salanova', -2]","['rest', inf]","['sior1', -3]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]"
2023-10-20 19:00:00,"['rest', inf]","['rest', inf]","['inactive', 3]","['rest', 3]","['rest', 3]","['inactive', 3]","['rest', 3]","['rest', inf]","['rest', 3]","['sior', -1]","['sior', -1]","['rest', 3]","['lalik', -1]","['lalik', -1]","['lalik', -1]","['salanova', -1]","['salanova', -1]","['rest', inf]","['inactive', -1]","['rest', inf]","['rest', 3]","['sior1', -2]","['sior', -1]","['sior1', -2]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['lalik', -1]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['salanova', -1]","['rest', inf]","['sior1', -2]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]"
2023-10-20 20:00:00,"['lalik', -4]","['lalik', -4]","['rest', 4]","['rest', 4]","['rest', 4]","['rest', 4]","['rest', 4]","['rest', inf]","['rest', 4]","['rest', 0]","['rest', 0]","['rest', 4]","['rest', 0]","['rest', 0]","['rest', 0]","['rest', 0]","['rest', 0]","['rest', inf]","['rest', 0]","['lalik', -4]","['rest', 4]","['sior1', -1]","['rest', 0]","['inactive', -1]","['lalik', -4]","['salanova', -4]","['salanova', -4]","['salanova', -4]","['inactive', inf]","['rest', inf]","['inactive', inf]","['sior', -8]","['sior', -8]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', 0]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', 0]","['rest', inf]","['sior1', -1]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['salanova', -4]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['sior', -8]","['rest', inf]","['rest', inf]","['inactive', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['inactive', inf]"
2023-10-20 21:00:00,"['lalik', -3]","['lalik', -3]","['inactive', 5]","['inactive', 5]","['rest', 5]","['rest', 5]","['rest', 5]","['rest', inf]","['inactive', 5]","['rest', 1]","['rest', 1]","['rest', 5]","['rest', 1]","['rest', 1]","['rest', 1]","['rest', 1]","['rest', 1]","['rest', inf]","['rest', 1]","['lalik', -3]","['inactive', 5]","['rest', 0]","['rest', 1]","['rest', 0]","['lalik', -3]","['salanova', -3]","['salanova', -3]","['salanova', -3]","['inactive', inf]","['rest', inf]","['rest', inf]","['sior', -7]","['sior', -7]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', 1]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', 1]","['rest', inf]","['rest', 0]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['salanova', -3]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['sior', -7]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['inactive', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['inactive', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]","['rest', inf]"
